category	name	home	sdram	repository	branch	source_id	comments
_Computer	TI-99/4A	TI-99_4A	yes	https://github.com/MiSTer-devel/TI-99_4A_MiSTer.git		MiSTer-devel_TI-99_4A_MiSTer	
_Computer	TK2000	TK2000	no	https://github.com/MiSTer-devel/TK2000_MiSTer.git		MiSTer-devel_TK2000_MiSTer	
_Computer	Tomy Tutor	TomyTutor	no	https://github.com/MiSTer-devel/TomyTutor_MiSTer.git		MiSTer-devel_TomyTutor_MiSTer	
_Computer	TRS-80 Model 1	TRS-80	no	https://github.com/MiSTer-devel/TRS-80_MiSTer.git		MiSTer-devel_TRS-80_MiSTer	
_Computer	TSConf	TSConf	yes	https://github.com/MiSTer-devel/TSConf_MiSTer.git		MiSTer-devel_TSConf_MiSTer	
_Computer	Compukit UK101	UK101	no	https://github.com/MiSTer-devel/UK101_MiSTer.git		MiSTer-devel_UK101_MiSTer	
_Computer	Vector-06C	VECTOR06	no	https://github.com/MiSTer-devel/Vector-06C_MiSTer.git		MiSTer-devel_Vector-06C_MiSTer	
_Computer	Commodore VIC-20	VIC20	no	https://github.com/MiSTer-devel/VIC20_MiSTer.git		MiSTer-devel_VIC20_MiSTer	
_Computer	VT52	VT52	no	https://github.com/MiSTer-devel/VT52_MiSTer.git		MiSTer-devel_VT52_MiSTer	
_Computer	Sharp X68000	X68000	yes	https://github.com/MiSTer-devel/X68000_MiSTer.git		MiSTer-devel_X68000_MiSTer	
_Computer	ZX Spectrum	Spectrum	yes	https://github.com/MiSTer-devel/ZX-Spectrum_MISTer.git		MiSTer-devel_ZX-Spectrum_MISTer	
_Computer	ZX81	ZX81	no	https://github.com/MiSTer-devel/ZX81_MiSTer.git		MiSTer-devel_ZX81_MiSTer	
_Computer	ZX Spectrum Next	ZXNext	yes	https://github.com/MiSTer-devel/ZXNext_MISTer.git		MiSTer-devel_ZXNext_MISTer	
_Console	3DO	3DO	yes	https://github.com/MiSTer-devel/3DO_MiSTer.git		MiSTer-devel_3DO_MiSTer	
_Console	Adventure Vision	AVision	no	https://github.com/MiSTer-devel/AdventureVision_MiSTer.git		MiSTer-devel_AdventureVision_MiSTer	
_Console	Emerson Arcadia 2001	Arcadia	no	https://github.com/MiSTer-devel/Arcadia_MiSTer.git		MiSTer-devel_Arcadia_MiSTer	
_Console	Bally Astrocade	Astrocade	no	https://github.com/MiSTer-devel/Astrocade_MiSTer.git		MiSTer-devel_Astrocade_MiSTer	
_Console	Atari 7800, 2600	ATARI7800	yes	https://github.com/MiSTer-devel/Atari7800_MiSTer.git		MiSTer-devel_Atari7800_MiSTer	
_Console	Atari 5200	ATARI5200	yes	https://github.com/MiSTer-devel/Atari800_MiSTer.git		MiSTer-devel_Atari800_MiSTer	Ignore-Extra-Releases-Files
_Console	Atari Lynx	AtariLynx	yes	https://github.com/MiSTer-devel/AtariLynx_MiSTer.git		MiSTer-devel_AtariLynx_MiSTer	
_Console	Atari Lynx 2P	AtariLynx	yes	https://github.com/MiSTer-devel/AtariLynx_MiSTer.git	Lynx2P	MiSTer-devel_AtariLynx_MiSTer	
_Console	AY-3-8500 (Pong-on-a-chip)	AY-3-8500	no	https://github.com/MiSTer-devel/AY-3-8500-MiSTer.git		MiSTer-devel_AY-3-8500-MiSTer	
_Console	BBC Bridge Companion	BBCBridgeCompanion	no	https://github.com/MiSTer-devel/BBCBridgeCompanion_MiSTer.git		MiSTer-devel_BBCBridgeCompanion_MiSTer	
_Console	Casio PV-1000	Casio_PV-1000	no	https://github.com/MiSTer-devel/Casio_PV-1000_MiSTer.git		MiSTer-devel_Casio_PV-1000_MiSTer	
_Console	Philips CD-i	CD-i	yes	https://github.com/MiSTer-devel/CDi_MiSTer.git		MiSTer-devel_CDi_MiSTer	
_Console	Fairchild Channel F	ChannelF	no	https://github.com/MiSTer-devel/ChannelF_MiSTer.git		MiSTer-devel_ChannelF_MiSTer	
_Console	ColecoVision, SG-1000	Coleco	yes	https://github.com/MiSTer-devel/ColecoVision_MiSTer.git		MiSTer-devel_ColecoVision_MiSTer	
_Console	VTech CreatiVision	CreatiVision	no	https://github.com/MiSTer-devel/CreatiVision_MiSTer.git		MiSTer-devel_CreatiVision_MiSTer	
_Console	Gamate	Gamate	yes	https://github.com/MiSTer-devel/Gamate_MiSTer.git		MiSTer-devel_Gamate_MiSTer	
_Console	Game And Watch	Game And Watch	yes	https://github.com/MiSTer-devel/GameAndWatch_MiSTer.git		MiSTer-devel_GameAndWatch_MiSTer	
_Console	Game Boy, Game Boy Color	GAMEBOY	yes	https://github.com/MiSTer-devel/Gameboy_MiSTer.git		MiSTer-devel_Gameboy_MiSTer	
_Console	Game Boy, Game Boy Color 2P	GAMEBOY2P	yes	https://github.com/MiSTer-devel/Gameboy_MiSTer.git	Gameboy2P	MiSTer-devel_Gameboy_MiSTer	
_Console	Game Boy Advance	GBA	no	https://github.com/MiSTer-devel/GBA_MiSTer.git		MiSTer-devel_GBA_MiSTer	
_Console	Game Boy Advance 2P	GBA2P	yes	https://github.com/MiSTer-devel/GBA_MiSTer.git	GBA2P	MiSTer-devel_GBA_MiSTer	
_Console	Game & Watch	GameNWatch	yes	https://github.com/MiSTer-devel/GnW_MiSTer.git		MiSTer-devel_GnW_MiSTer	
_Console	Intellivision	Intellivision	no	https://github.com/MiSTer-devel/Intv_MiSTer.git		MiSTer-devel_Intv_MiSTer	
_Console	Atari Jaguar	Jaguar	yes	https://github.com/MiSTer-devel/Jaguar_MiSTer.git		MiSTer-devel_Jaguar_MiSTer	
_Console	Sega CD/Mega-CD	MegaCD	yes	https://github.com/MiSTer-devel/MegaCD_MiSTer.git		MiSTer-devel_MegaCD_MiSTer	
_Console	Sega Mega Drive/Genesis	MegaDrive	yes	https://github.com/MiSTer-devel/MegaDrive_MiSTer.git		MiSTer-devel_MegaDrive_MiSTer	
_Console	Nichibutsu My Vision	MyVision	no	https://github.com/MiSTer-devel/MyVision_MiSTer.git		MiSTer-devel_MyVision_MiSTer	
_Console	Nintendo 64	N64	yes	https://github.com/MiSTer-devel/N64_MiSTer.git		MiSTer-devel_N64_MiSTer	
_Console	Neo Geo MVS/AES	NEOGEO	yes	https://github.com/MiSTer-devel/NeoGeo_MiSTer.git		MiSTer-devel_NeoGeo_MiSTer	
